Area,AreaWSat,cells_total_Area,cells_number_patches,well
114976,114976,16221,168,21h 7day 40_C02_s1
245114,245114,68650,640,21h 7day 40_C02_s10
133436,133436,35357,311,21h 7day 40_C02_s10
13446,13446,3968,40,21h 7day 40_C02_s11
539333,539333,96156,1010,21h 7day 40_C02_s11
415165,415165,73802,865,21h 7day 40_C02_s12
232077,232077,48074,499,21h 7day 40_C02_s13
269704,269704,68784,646,21h 7day 40_C02_s14
485661,485661,71869,793,21h 7day 40_C02_s15
199599,199599,33672,308,21h 7day 40_C02_s16
315591,315591,44484,464,21h 7day 40_C02_s17
239092,239092,67817,680,21h 7day 40_C02_s18
17318,17318,4876,38,21h 7day 40_C02_s19
86365,86365,16835,158,21h 7day 40_C02_s19
287925,287925,34428,417,21h 7day 40_C02_s2
277386,277386,39211,383,21h 7day 40_C02_s3
170251,170251,26040,291,21h 7day 40_C02_s4
305509,305509,61575,594,21h 7day 40_C02_s5
129979,129979,16798,198,21h 7day 40_C02_s6
216080,216080,33204,307,21h 7day 40_C02_s7
203465,203465,32489,323,21h 7day 40_C02_s7
184310,184310,26088,248,21h 7day 40_C02_s8
128983,128983,17504,211,21h 7day 40_C02_s9
237705,237705,32993,301,21h 7day 41_B03_s1
292875,323881,7191,129,21h 7day 41_B03_s10
123080,123080,8333,109,21h 7day 41_B03_s11
141507,141507,19639,162,21h 7day 41_B03_s12
263909,263909,18719,193,21h 7day 41_B03_s13
234082,234082,12680,131,21h 7day 41_B03_s14
337488,337488,58058,443,21h 7day 41_B03_s15
561132,561132,78303,880,21h 7day 41_B03_s16
156742,156742,9485,95,21h 7day 41_B03_s2
369667,369667,21457,217,21h 7day 41_B03_s3
173455,173455,13122,134,21h 7day 41_B03_s4
137537,137537,9944,107,21h 7day 41_B03_s5
77334,104136,318,4,21h 7day 41_B03_s6
402484,402484,29873,313,21h 7day 41_B03_s6
277598,277598,21962,207,21h 7day 41_B03_s6
257467,266958,9490,120,21h 7day 41_B03_s7
126897,126897,21189,202,21h 7day 41_B03_s8
258285,258285,26616,236,21h 7day 41_B03_s8
283142,283142,45109,429,21h 7day 41_B03_s9
151540,172172,8485,102,21h 7day 42_B04_s1
235383,262086,3643,39,21h 7day 42_B04_s10
336084,375633,2676,67,21h 7day 42_B04_s11
201674,220335,3192,35,21h 7day 42_B04_s12
62246,62246,1915,19,21h 7day 42_B04_s12
172836,172836,13585,159,21h 7day 42_B04_s13
326737,326737,14230,165,21h 7day 42_B04_s14
297626,333980,4777,85,21h 7day 42_B04_s15
299765,335869,3324,69,21h 7day 42_B04_s16
156417,172045,7475,69,21h 7day 42_B04_s17
124792,156169,2873,30,21h 7day 42_B04_s18
64850,89165,1339,30,21h 7day 42_B04_s19
405546,425967,5103,107,21h 7day 42_B04_s2
175336,194752,6031,60,21h 7day 42_B04_s20
481861,481861,22239,257,21h 7day 42_B04_s21
478999,503420,6988,83,21h 7day 42_B04_s22
402223,425502,11319,115,21h 7day 42_B04_s3
128724,146316,7142,83,21h 7day 42_B04_s4
128655,148311,6178,80,21h 7day 42_B04_s5
295883,326190,4078,42,21h 7day 42_B04_s6
236669,257616,10195,101,21h 7day 42_B04_s7
403123,424381,4682,57,21h 7day 42_B04_s8
121013,121013,10850,82,21h 7day 42_B04_s8
414801,414801,22330,254,21h 7day 42_B04_s9
233097,233097,19741,191,21h 7day 43_B05_s1
271069,271069,5244,54,21h 7day 43_B05_s1
231350,241464,10223,109,21h 7day 43_B05_s10
201335,233196,4598,52,21h 7day 43_B05_s11
465138,473878,16200,187,21h 7day 43_B05_s12
112560,139311,818,7,21h 7day 43_B05_s13
129221,156972,4913,45,21h 7day 43_B05_s14
207463,238901,3065,33,21h 7day 43_B05_s15
230770,230770,5685,72,21h 7day 43_B05_s16
379580,415031,5153,46,21h 7day 43_B05_s17
280246,307300,4627,52,21h 7day 43_B05_s18
209661,220056,6154,73,21h 7day 43_B05_s2
241919,277661,4650,44,21h 7day 43_B05_s3
472240,490353,18324,196,21h 7day 43_B05_s4
210867,223700,7881,81,21h 7day 43_B05_s6
101734,124610,1525,20,21h 7day 43_B05_s7
82321,109857,2711,26,21h 7day 43_B05_s8
141819,174078,1645,15,21h 7day 43_B05_s9
226020,241448,13531,128,21h 7day 44_B06_s1
152532,184420,2754,31,21h 7day 44_B06_s10
115311,115311,2465,24,21h 7day 44_B06_s11
270975,303046,1304,19,21h 7day 44_B06_s11
171707,198758,3160,32,21h 7day 44_B06_s12
137036,166322,1643,17,21h 7day 44_B06_s13
108481,108481,3819,39,21h 7day 44_B06_s13
62954,93690,1879,22,21h 7day 44_B06_s14
227059,260172,7007,54,21h 7day 44_B06_s15
88244,116108,4188,56,21h 7day 44_B06_s16
295825,330265,4265,50,21h 7day 44_B06_s2
284782,315826,5565,55,21h 7day 44_B06_s3
230692,264878,4995,44,21h 7day 44_B06_s4
90793,115470,3581,49,21h 7day 44_B06_s5
210014,243730,2329,27,21h 7day 44_B06_s6
277101,299115,11401,123,21h 7day 44_B06_s7
13182,13182,2065,15,21h 7day 44_B06_s8
15166,15166,2242,13,21h 7day 44_B06_s8
256054,284634,4851,44,21h 7day 44_B06_s8
74755,99291,3763,41,21h 7day 44_B06_s9
228390,255605,1731,21,21h 7day 45_B07_s1
110403,121336,559,7,21h 7day 45_B07_s1
313196,345156,7933,90,21h 7day 45_B07_s10
216731,254587,900,12,21h 7day 45_B07_s11
48495,48495,3758,38,21h 7day 45_B07_s12
301966,321951,11956,107,21h 7day 45_B07_s12
170585,205073,2883,40,21h 7day 45_B07_s13
420432,459733,2334,36,21h 7day 45_B07_s14
78233,113770,1798,18,21h 7day 45_B07_s15
191122,218472,8251,100,21h 7day 45_B07_s2
273657,289724,5591,61,21h 7day 45_B07_s3
43675,80061,387,12,21h 7day 45_B07_s4
331746,366838,2092,26,21h 7day 45_B07_s5
348210,384168,4562,49,21h 7day 45_B07_s6
74489,110893,1453,20,21h 7day 45_B07_s7
10504,20275,87,4,21h 7day 45_B07_s8
299016,322266,1957,24,21h 7day 45_B07_s8
119762,149925,4321,54,21h 7day 45_B07_s9
